"","game_year","player_name","arm_angle","arm_slot","throws","pitch_name","avg_pitch_velo","avg_release_spin","height"
"11854",2019,"Cody Anderson",39.05,"Three-Quarters","R","4-Seam Fastball",94.37,2409.76,6.33
"11855",2019,"Clayton Kershaw",37.38,"Three-Quarters","L","4-Seam Fastball",90.29,2474.68,6.33
"11856",2019,"Carlos Estevez",64.63,"Three-Quarters","R","Changeup",90.46,1711.49,6.5
"11857",2019,"Stephen Strasburg",60.18,"Three-Quarters","R","2-Seam Fastball",93.7,2125.32,6.42
"11858",2019,"Cody Anderson",41.89,"Three-Quarters","R","Curveball",82.37,2565.26,6.33
"11859",2019,"Reynaldo Lopez",40.62,"Three-Quarters","R","Changeup",83.95,1606.44,6.08
"11860",2019,"Cody Anderson",40.81,"Three-Quarters","R","Cutter",93.75,2580.5,6.33
"11861",2019,"Framber Valdez",35.11,"Three-Quarters","L","Changeup",88.63,1807.66,5.92
"11862",2019,"Tyler Mahle",67.63,"Three-Quarters","R","Curveball",80.38,2592.51,6.25
"11863",2019,"Kyle Gibson",51.63,"Three-Quarters","R","Changeup",85.35,1664.41,6.5
"11864",2019,"Ty Buttrey",57.83,"Three-Quarters","R","2-Seam Fastball",95.3,2047,6.5
"11865",2019,"Kyle Gibson",42.38,"Three-Quarters","R","4-Seam Fastball",93.4,2213.3,6.5
"11866",2019,"Noah Syndergaard",34.58,"Three-Quarters","R","Changeup",91.11,1690.11,6.5
"11867",2019,"Kyle Gibson",49.27,"Three-Quarters","R","Curveball",80.08,2481.56,6.5
"11868",2019,"Kyle Gibson",42.81,"Three-Quarters","R","2-Seam Fastball",93.22,2099.78,6.5
"11869",2019,"Tyler Mahle",68.31,"Three-Quarters","R","4-Seam Fastball",93.18,2156.66,6.25
"11870",2019,"Trevor Richards",38.02,"Three-Quarters","R","4-Seam Fastball",90.85,2138.66,6.17
"11871",2019,"Noah Syndergaard",32.39,"Three-Quarters","R","Slider",89.17,2177.94,6.5
"11872",2019,"Trevor Richards",37.32,"Three-Quarters","R","Changeup",83.38,2392.82,6.17
"11873",2019,"Kyle Gibson",49.86,"Three-Quarters","R","Slider",84.06,2471.88,6.5
"11874",2019,"Ryan Buchter",61.44,"Three-Quarters","L","Curveball",77.65,2091.34,6.33
"11875",2019,"Ryan Buchter",52.74,"Three-Quarters","L","4-Seam Fastball",92.46,2275.4,6.33
"11876",2019,"Brandon Woodruff",48.58,"Three-Quarters","R","Changeup",86.9,1787.66,6.33
"11877",2019,"Adam Kolarek",63.14,"Three-Quarters","L","4-Seam Fastball",91.57,2212.8,6.25
"11878",2019,"Noah Syndergaard",31.22,"Three-Quarters","R","4-Seam Fastball",97.75,2200.87,6.5
"11879",2019,"Adam Kolarek",98.34,"Submarine","L","Changeup",81.41,2177.28,6.25
"11880",2019,"Brandon Woodruff",46.27,"Three-Quarters","R","4-Seam Fastball",96.27,2254.72,6.33
"11881",2019,"Dereck Rodriguez",27.04,"Overhand","R","4-Seam Fastball",90.74,2049.28,6
"11882",2019,"Trevor Richards",40.4,"Three-Quarters","R","Curveball",78.97,2225.69,6.17
"11883",2019,"Tyler Mahle",69.46,"Three-Quarters","R","Split-Finger",86.98,1630.59,6.25
"11884",2019,"Tyler Glasnow",46.78,"Three-Quarters","R","4-Seam Fastball",96.95,2269.68,6.67
"11885",2019,"Noah Syndergaard",31.85,"Three-Quarters","R","Curveball",80.46,2278.06,6.5
"11886",2019,"Ryan Buchter",52.94,"Three-Quarters","L","Cutter",89.78,2247.61,6.33
"11887",2019,"Tyler Glasnow",44.59,"Three-Quarters","R","Curveball",83.49,2899.98,6.67
"11888",2019,"Dylan Bundy",49.84,"Three-Quarters","R","Curveball",74.78,2399.75,6.08
"11889",2019,"Dakota Hudson",50.18,"Three-Quarters","R","Sinker",93.55,2138.77,6.42
"11890",2019,"Dylan Bundy",53.26,"Three-Quarters","R","Changeup",83.44,1567.6,6.08
"11891",2019,"Dereck Rodriguez",29.54,"Overhand","R","Curveball",75.62,2586.44,6
"11892",2019,"Brandon Woodruff",47.6,"Three-Quarters","R","2-Seam Fastball",95.95,2163.39,6.33
"11893",2019,"Joey Lucchesi",47.41,"Three-Quarters","L","Sinker",90.16,2214.73,6.42
"11894",2019,"Joey Lucchesi",39.51,"Three-Quarters","L","Changeup",78.97,2091.76,6.42
"11895",2019,"Dereck Rodriguez",29.59,"Overhand","R","Changeup",84.49,1932.06,6
"11896",2019,"Dakota Hudson",50.06,"Three-Quarters","R","4-Seam Fastball",93.89,2170.65,6.42
"11897",2019,"Brandon Kintzler",35,"Three-Quarters","R","Slider",86.69,2298.75,5.83
